
Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
"Atropine Sulfate Injection","Somerset Therapeutics, LLC","732-554-1037","Atropine Sulfate, Injection, .4 mg/1 mL (NDC 70069-481-10)","New","07/20/2026","Available","","","","Anesthesia; Neurology; Pediatric","Current","","","01/01/2012","","","","","","",""
"Azacitidine Injection","Meitheal Pharmaceuticals, Inc.","844-824-8426","Azacitidine, Injection, 100 mg/30 mL (NDC 71288-115-30)","Reverified","08/27/2026","Available","","","","Oncology","Current","","","12/18/2020","","","","","","",""
"Azacitidine Injection","Teva Pharmaceuticals USA, Inc.","800-545-8800","Azacitidine, Injection, 100 mg (NDC 68001-313-56)","Revised","08/17/2026","Unavailable","Estimated recovery: TBD","","Other","Oncology","Current","","","12/22/2020","","","","","","",""
"Azacitidine Injection","Bristol Myers Squibb Co.","1-888-423-5436","Vidaza, Injection, 100 mg (NDC 59572-102-01)","Reverified","09/01/2026","Available","","","","Oncology","Current","","","12/18/2020","","","","","","",""
"Azacitidine Injection","Fresenius Kabi USA, LLC","1-888-386-1300","Azacitidine, Injection, 100 mg/30 mL (NDC 63323-771-39)","Reverified","08/25/2026","Unavailable","Estimated recovery: TBD","","Demand increase for the drug","Oncology","Current","","","12/18/2020","","","","","","",""
"Azacitidine Injection","Hikma Pharmaceuticals USA, Inc.","1-800-631-2174","Azacitidine, Injection, 100 mg/ Vial (NDC 0143-9606-01)","Reverified","08/13/2026","Available","Additional lots are scheduled for manufacturing to meet demand.  Product will be made available as it is released.","","","Oncology","Current","","","12/18/2020","","","","","","",""
"Azacitidine Injection","Dr. Reddy's Laboratories, Inc.","866-732-3952","Azacitidine, Injection, 100 mg (NDC 43598-305-62)","Reverified","08/05/2026","Available","Available to existing customers","","","Oncology","Current","","","12/18/2020","","","","","","",""
"Azacitidine Injection","Armas Pharmaceuticals Inc","732-637-1971","Azacitidine, Injection, 100 mg (NDC 72485-201-01)","Revised","06/08/2026","Limited Availability","Estimated recovery: TBD","","Other","Oncology","Current","","","12/18/2020","","","","","","",""
"Azacitidine Injection","Accord Healthcare Inc.","866-941-7875, option 2","Azacitidine, Injection, 100 mg (NDC 16729-306-10)","Reverified","08/17/2026","Available","","","","Oncology","Current","","","12/21/2020","","","","","","",""
"Azacitidine Injection","Eugia US LLC","888-238-7880","Azacitidine, Injection, 100 mg/4 mL (NDC 55150-393-01)","Reverified","08/06/2026","Unavailable","On backorder. Recovery: TBD. Check wholesalers for inventory","","Demand increase for the drug","Oncology","Current","","","12/22/2020","","","","","","",""
"Azelastine Hydrochloride; Fluticasone Propionate Nasal Spray","Mylan Pharmaceuticals Inc., a Viatris Company","800-796-9526","Azelastine Hydrochloride; Fluticasone Propionate, Nasal Spray, 137 ug; 50 ug (NDC 0378-3458-23)","New","09/04/2025","","Discontinuation of the manufacture of the drug","","","Pulmonary/Allergy","To Be Discontinued","","09/04/2025","09/04/2025","","","","","","",""
"Azithromycin Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Azithromycin, Injection, 500 mg Single Dose ADD-Vantage® Glass Vial (NDC 0409-0144-11)","New","09/09/2025","","Discontinuation of the manufacture of the drug","","","Anti-Infective","To Be Discontinued","","09/09/2025","09/09/2025","","","","","","",""
"Azithromycin Injection","Pfizer Inc.","844-646-4398","Zithromax IV, Injection, 500 mg/5 mL (NDC 0069-3150-83)","New","01/20/2026","","Discontinuation of the manufacture of the drug.","","","Anti-Infective","To Be Discontinued","","01/20/2026","01/20/2026","","","","","","",""
"Azithromycin Tablet","Pfizer Inc.","800-533-4535","Zithromax, Tablet, 500 mg (NDC 0069-3070-30)","New","04/09/2026","","Discontinuation of the manufacture of the drug","","","Anti-Infective","To Be Discontinued","","04/09/2026","04/09/2026","","","","","","",""
"Azithromycin Tablet","Pfizer Inc.","800-533-4535","Zithromax, Tablet, 250 mg (NDC 0069-4061-01)","New","04/09/2026","","Discontinuation of the manufacture of the drug","","","Anti-Infective","To Be Discontinued","","04/09/2026","04/09/2026","","","","","","",""
"Bacitracin Ophthalmic Ointment","Padagis US LLC","866-634-9120","Bacitracin, Ophthalmic Ointment, 3.5 g (NDC 0574-4022-35)","Revised","06/01/2026","Unavailable","Shortage is estimated for 24 months","","Discontinuation of the manufacture of the drug","Anti-Infective; Ophthalmology","Current","","","03/03/2025","","","","","","",""
"Belladonna and Opium Suppository","Padagis US LLC","(800) 775-2054","Belladonna and Opium, Suppository, 16.2 mg; 60 mg (NDC 0574-7040-04)","New","07/23/2026","","Discontinuation of the manufacture of the drug","","","Analgesia/Addiction","To Be Discontinued","","07/23/2026","07/23/2026","","","","","","",""
"Belladonna and Opium Suppository","Padagis US LLC","(800) 775-2054","Belladonna and Opium, Suppository, 16.2 mg; 60 mg (NDC 0574-7040-12)","New","07/23/2026","","Discontinuation of the manufacture of the drug","","","Analgesia/Addiction","To Be Discontinued","","07/23/2026","07/23/2026","","","","","","",""
"Belladonna and Opium Suppository","Padagis US LLC","(800) 775-2054","Belladonna and Opium, Suppository, 16.2 mg; 30 mg (NDC 0574-7045-04)","New","07/23/2026","","Discontinuation of the manufacture of the drug","","","Analgesia/Addiction","To Be Discontinued","","07/23/2026","07/23/2026","","","","","","",""
"Belladonna and Opium Suppository","Padagis US LLC","(800) 775-2054","Belladonna and Opium, Suppository, 16.2 mg; 30 mg (NDC 0574-7045-12)","New","07/23/2026","","Discontinuation of the manufacture of the drug","","","Analgesia/Addiction","To Be Discontinued","","07/23/2026","07/23/2026","","","","","","",""
"Bendamustine Hydrochloride Injection, Solution","Cephalon, LLC (a wholly owned subsidiary of Teva Pharmaceutical Industries, Ltd.)","(610) 344-0200","Treanda, Injection, Solution, 25 mg/5 mL, 1 vial, Single-Dose in 1 carton (NDC 63459-390-08)","New","07/23/2026","","A business decision has been made to discontinue manufacture of the drug.","","","Oncology","To Be Discontinued","","07/23/2026","07/23/2026","","","","","","",""
"Benztropine Mesylate Injection","Fresenius Kabi USA, LLC","888-386-1300","Benztropine Mesylate, Injection, 1 mg/1 mL (NDC 63323-970-02)","New","01/27/2026","","Discontinuation of the manufacture of the drug","","","Neurology","To Be Discontinued","","01/27/2026","01/27/2026","","","","","","",""
"Bumetanide Injection","Sagent Pharmaceuticals","866-625-1618","Bumetanide, Injection, .25 mg/1 mL (NDC 25021-321-04)","Reverified","08/18/2026","Available","","","","Cardiovascular","Current","","","01/31/2018","","","","","","",""
"Bumetanide Injection","Sagent Pharmaceuticals","866-625-1618","Bumetanide, Injection, .25 mg/1 mL (NDC 25021-321-10)","Reverified","08/18/2026","Available","","","","Cardiovascular","Current","","","01/31/2018","","","","","","",""
"Bumetanide Injection","Fresenius Kabi USA, LLC","888-386-1300","Bumetanide, Injection, .25 mg/1 mL (NDC 65219-570-04)","Reverified","08/25/2026","Available","Check wholesalers for inventory","","","Cardiovascular","Current","","","01/31/2018","","","","","","",""
"Bumetanide Injection","Fresenius Kabi USA, LLC","888-386-1300","Bumetanide, Injection, .25 mg/1 mL (NDC 65219-572-10)","Reverified","08/25/2026","Available","Check wholesalers for inventory","","","Cardiovascular","Current","","","01/31/2018","","","","","","",""
"Bumetanide Injection","MSN Laboratories Private Limited","855-668-2369; customerservice@novadozpharma.com","Bumetanide, Injection, 0.25 mg/mL, 4mL (NDC 72205-101-01)","Revised","08/21/2026","Available","Distributed by: Novadoz Pharmaceuticals LLC","","","Cardiovascular","Current","","","12/13/2017","","","","","","",""
"Bumetanide Injection","MSN Laboratories Private Limited","855-668-2369; customerservice@novadozpharma.com","Bumetanide, Injection, 0.25 mg/1 mL (NDC 72205-101-07)","Revised","08/21/2026","Available","Distributed by: Novadoz Pharmaceuticals LLC","","","Cardiovascular","Current","","","12/13/2017","","","","","","",""
"Bumetanide Injection","MSN Laboratories Private Limited","855-668-2369; customerservice@novadozpharma.com","Bumetanide, Injection, 0.25 mg/mL, 10 mL (NDC 72205-102-01)","Revised","08/21/2026","Available","Distributed by: Novadoz Pharmaceuticals LLC","","","Cardiovascular","Current","","","12/13/2017","","","","","","",""
"Bumetanide Injection","MSN Laboratories Private Limited","855-668-2369; customerservice@novadozpharma.com","Bumetanide, Injection, 0.25 mg/1 mL (NDC 72205-102-07)","Revised","08/21/2026","Available","Distributed by: Novadoz Pharmaceuticals LLC","","","Cardiovascular","Current","","","12/13/2017","","","","","","",""
"Bumetanide Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Bumetanide, Injection, .25 mg/1 mL (NDC 0641-6008-10)","Reverified","08/13/2026","Available","Additional lots are scheduled for manufacturing to meet demand.  Product will be made available as it is released.","","","Cardiovascular","Current","","","01/31/2018","","","","","","",""
"Bumetanide Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Bumetanide, Injection, .25 mg/1 mL (NDC 0641-6007-10)","Revised","08/13/2026","Unavailable","Additional lots will be available in the September 2026 timeframe.  Product will be made available as it is released.","","Demand increase for the drug","Cardiovascular","Current","","","01/31/2018","","","","","","",""
"Bumetanide Injection","Mullan Pharmaceutical Inc.","800-673-9839","Bumetanide, Injection, 1 mg/4 mL (0.25 mg/mL) (NDC 83301-0080-2)","Reverified","08/11/2026","Available","","","","Cardiovascular","Current","","","12/13/2017","","","","","","",""
"Bumetanide Injection","Mullan Pharmaceutical Inc.","800-673-9839","Bumetanide, Injection, 2.5 mg/10 mL (0.25 mg/mL) (NDC 83301-0081-2)","Reverified","08/11/2026","Available","","","","Cardiovascular","Current","","","12/13/2017","","","","","","",""
"Bupivacaine Hydrochloride Injection","Kindos Pharmaceuticals Co. Ltd.","844-824-8426","Bupivacaine Hydrochloride, Injection, 2.5 mg/1 mL (NDC 71288-723-52)","New","05/05/2026","","Discontinuation of the manufacture of the drug","","","Anesthesia","To Be Discontinued","","05/05/2026","05/05/2026","","","","","","",""
"Bupivacaine Hydrochloride Injection","Kindos Pharmaceuticals Co. Ltd.","844-824-8426","Bupivacaine Hydrochloride, Injection, 5 mg/1 mL (NDC 71288-726-52)","New","05/05/2026","","Discontinuation of the manufacture of the drug","","","Anesthesia","To Be Discontinued","","05/05/2026","05/05/2026","","","","","","",""
"Bupivacaine Hydrochloride Injection","Kindos Pharmaceuticals Co. Ltd.","844-824-8426","Bupivacaine Hydrochloride, Injection, 2.5 mg/1 mL (NDC 71288-722-32)","New","05/05/2026","","Discontinuation of the manufacture of the drug","","","Anesthesia","To Be Discontinued","","05/05/2026","05/05/2026","","","","","","",""
"Bupivacaine Hydrochloride Injection","Kindos Pharmaceuticals Co. Ltd.","844-824-8426","Bupivacaine Hydrochloride, Injection, 5 mg/1 mL (NDC 71288-725-32)","New","05/05/2026","","Discontinuation of the manufacture of the drug","","","Anesthesia","To Be Discontinued","","05/05/2026","05/05/2026","","","","","","",""
"Bupivacaine Hydrochloride Injection","Kindos Pharmaceuticals Co. Ltd.","844-824-8426","Bupivacaine Hydrochloride, Injection, 7.5 mg/1 mL (NDC 71288-728-32)","New","05/05/2026","","Discontinuation of the manufacture of the drug","","","Anesthesia","To Be Discontinued","","05/05/2026","05/05/2026","","","","","","",""
"Bupivacaine Hydrochloride Injection","Aspiro Pharma Limited","732-529-0430, customerservice@camberpharma.com","Bupivacaine Hydrochloride, Injection, 2.5 mg/1 mL (NDC 31722-275-32)","New","07/17/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Aspiro Pharma Limited","732-529-0430, customerservice@camberpharma.com","Bupivacaine Hydrochloride, Injection, 5 mg/1 mL (NDC 31722-276-32)","New","07/17/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Aspiro Pharma Limited","732-529-0430, customerservice@camberpharma.com","Bupivacaine Hydrochloride, Injection, 7.5 mg/1 mL (NDC 31722-277-32)","New","07/17/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Aspiro Pharma Limited","732-529-0430, customerservice@camberpharma.com","Bupivacaine Hydrochloride, Injection, 2.5 mg/1 mL (NDC 31722-275-34)","New","07/17/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Aspiro Pharma Limited","732-529-0430, customerservice@camberpharma.com","Bupivacaine Hydrochloride, Injection, 5 mg/1 mL (NDC 31722-276-34)","New","07/17/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Aspiro Pharma Limited","732-529-0430, customerservice@camberpharma.com","Bupivacaine Hydrochloride, Injection, 7.5 mg/1 mL (NDC 31722-277-34)","New","07/17/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Somerset Therapeutics, LLC","732-554-1037","Bupivacaine Hydrochloride, Injection, 2.5 mg/1 mL (NDC 70069-752-01)","Revised","07/20/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Somerset Therapeutics, LLC","732-554-1037","Bupivacaine Hydrochloride, Injection, 2.5 mg/1 mL (NDC 70069-752-10)","Revised","07/20/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Somerset Therapeutics, LLC","732-554-1037","Bupivacaine Hydrochloride, Injection, 5 mg/1 mL (NDC 70069-753-01)","Revised","07/20/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Somerset Therapeutics, LLC","732-554-1037","Bupivacaine Hydrochloride, Injection, 5 mg/1 mL (NDC 70069-753-10)","Revised","07/20/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","ONESOURCE SPECIALTY PTE LTD","888-217-8103","Bupivacaine Hydrochloride PRESERVATIVE FREE, Injection, 2.5 mg/1 mL (NDC 72266-263-10)","Reverified","08/18/2026","Available","Distributed by Fosun Pharma USA Inc.","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Marcaine, Injection, 250 mg/50 mL (NDC 0409-0525-25)","Revised","08/31/2026","Available","Historical NDC: 0409-1610-50","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Marcaine, Injection, 225 mg/30 mL (NDC 0409-2253-25)","Revised","08/31/2026","Available","Historical NDC: 0409-1582-29","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Sensorcaine, Injection, 2.5 mg/1 mL (NDC 63323-465-57)","Reverified","08/25/2026","Available","Check wholesalers for inventory","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Sensorcaine, Injection, 5 mg/1 mL (NDC 63323-467-57)","Reverified","08/25/2026","Available","Check wholesalers for inventory","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Sensorcaine, Injection, 2.5 mg/1 mL (NDC 63323-464-17)","Reverified","08/25/2026","Available","Check wholesalers for inventory","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Sensorcaine, Injection, 2.5 mg/1 mL (NDC 63323-464-37)","Reverified","08/25/2026","Available","Check wholesalers for inventory","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Sensorcaine, Injection, 2.5 mg/1 mL (NDC 63323-464-31)","Reverified","08/25/2026","Unavailable","Estimated recovery: TBD","","Demand increase for the drug","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Sensorcaine, Injection, 5 mg/1 mL (NDC 63323-466-17)","Reverified","08/25/2026","Available","Check wholesalers for inventory","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Sensorcaine, Injection, 5 mg/1 mL (NDC 63323-466-37)","Reverified","08/25/2026","Available","Check wholesalers for inventory","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Sensorcaine, Injection, 5 mg/1 mL (NDC 63323-466-31)","Reverified","08/25/2026","Unavailable","Estimated recovery: TBD","","Delay in shipping of the drug","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Sensorcaine, Injection, 7.5 mg/1 mL (NDC 63323-472-17)","Reverified","08/25/2026","Available","Check wholesalers for inventory","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Sensorcaine, Injection, 7.5 mg/1 mL (NDC 63323-472-37)","Reverified","08/25/2026","Available","Check wholesalers for inventory","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Bupivacaine Hydrochloride, Injection, 25 mg/10 mL (2.5 mg/mL) (NDC 0409-1159-01)","Revised","08/31/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Bupivacaine Hydrochloride, Injection, 75 mg/30 mL (2.5 mg/mL) (NDC 0409-1159-02)","Revised","08/31/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Bupivacaine Hydrochloride, Injection, 125 mg/50 mL (2.5 mg/mL) (NDC 0409-1160-01)","Revised","08/31/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Bupivacaine Hydrochloride, Injection, 50 mg/10 mL (5 mg/mL) (NDC 0409-1162-01)","Revised","08/31/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Bupivacaine Hydrochloride, Injection, 150 mg/30 mL (5 mg/mL) (NDC 0409-1162-02)","Revised","08/31/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Bupivacaine Hydrochloride, Injection, 250 mg/50 mL (5 mg/mL) (NDC 0409-1163-01)","Revised","08/31/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Bupivacaine Hydrochloride, Injection, 7.5 mg/1 mL (NDC 0409-1165-01)","Revised","08/31/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Bupivacaine Hydrochloride, Injection, 225 mg/30 mL (7.5 mg/mL) (NDC 0409-1165-02)","Revised","08/31/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Bupivacaine Hydrochloride, Injection, Bupivacaine Spinal 15 mg/2 mL (7.5 mg/mL in 8.25% dextrose) (NDC 0409-3613-01)","Revised","08/24/2026","Limited Availability","Limited Supply Available. Next Delivery: August 2026; Estimated Recovery: September 2026; Shortage per Manufacturer: Manufacturing Delay","","Other","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Marcaine, Injection, Marcaine 25 mg/10 mL (2.5 mg/mL) (NDC 0409-1559-10)","Revised","08/31/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Marcaine, Injection, Marcaine 75 mg/30 mL (2.5 mg/mL) (NDC 0409-1559-30)","Revised","08/31/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Marcaine, Injection, Marcaine 125 mg/50 mL (2.5 mg/mL) (NDC 0409-1160-01)","Revised","08/31/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Marcaine, Injection, Marcaine 50 mg/10 mL (5 mg/mL) (NDC 0409-1560-10)","Revised","08/31/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Marcaine, Injection, Marcaine 150 mg/30 mL (5 mg/mL) (NDC 0409-1560-29)","Revised","08/31/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Marcaine, Injection, Marcaine 75 mg/10 mL (7.5 mg/mL) (NDC 0409-1165-01)","Revised","08/31/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Marcaine, Injection, Marcaine 225 mg/30 mL (7.5 mg/mL) (NDC 0409-2253-01)","Revised","08/31/2026","Available","Historical NDC: 0409-1582-29","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Eugia US LLC","888-238-7880","Bupivacaine Hydrochloride, Injection, 2.5 mg/1 mL (NDC 55150-167-10)","Reverified","08/06/2026","Available","Check wholesalers for inventory","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Eugia US LLC","888-238-7880","Bupivacaine Hydrochloride, Injection, 2.5 mg/1 mL (NDC 55150-168-30)","Reverified","08/06/2026","Available","Check wholesalers for inventory","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Eugia US LLC","888-238-7880","Bupivacaine Hydrochloride, Injection, 5 mg/1 mL (NDC 55150-169-10)","Reverified","08/06/2026","Available","Check wholesalers for inventory","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Eugia US LLC","888-238-7880","Bupivacaine Hydrochloride, Injection, 5 mg/1 mL (NDC 55150-170-30)","Reverified","08/06/2026","Available","Check wholesalers for inventory","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Eugia US LLC","888-238-7880","Bupivacaine Hydrochloride, Injection, 7.5 mg/1 mL (NDC 55150-171-10)","Reverified","08/06/2026","Available","Check wholesalers for inventory","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Eugia US LLC","888-238-7880","Bupivacaine Hydrochloride, Injection, 7.5 mg/1 mL (NDC 55150-172-30)","Reverified","08/06/2026","Available","Check wholesalers for inventory","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Eugia US LLC","888-238-7880","Bupivacaine Hydrochloride, Injection, 2.5 mg/1 mL (NDC 55150-249-50)","Reverified","08/06/2026","Available","Check wholesalers for inventory","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Eugia US LLC","888-238-7880","Bupivacaine Hydrochloride, Injection, 5 mg/1 mL (NDC 55150-250-50)","Reverified","08/06/2026","Available","Check wholesalers for inventory","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Huons Co., Ltd","+82-2-854-4700 or via email intbiz@huons.com","Bupivacaine Hydrochloride, Injection, 7.5 mg/1 mL (NDC 73293-0002-2)","Reverified","07/30/2026","Unavailable","Estimated recovery: TBD","","Demand increase for the drug","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Kindos Pharmaceuticals Co. Ltd.","844-824-8426","Bupivacaine Hydrochloride, Injection, 2.5 mg/1 mL (NDC 71288-723-52)","Revised","05/05/2026","Limited Availability","Meitheal Pharmaceuticals is distributor/labeler","","Discontinuation of the manufacture of the drug","Anesthesia","Current","","","02/20/2018","","","","","https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Bupivacaine%20Hydrochloride%20Injection&st=d","",""
"Bupivacaine Hydrochloride Injection","Kindos Pharmaceuticals Co. Ltd.","844-824-8426","Bupivacaine Hydrochloride, Injection, 5 mg/1 mL (NDC 71288-726-52)","Revised","05/05/2026","Limited Availability","Meitheal Pharmaceuticals is distributor/labeler","","Discontinuation of the manufacture of the drug","Anesthesia","Current","","","02/20/2018","","","","","https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Bupivacaine%20Hydrochloride%20Injection&st=d","",""
"Bupivacaine Hydrochloride Injection","Kindos Pharmaceuticals Co. Ltd.","844-824-8426","Bupivacaine Hydrochloride, Injection, 2.5 mg/1 mL (NDC 71288-722-32)","Revised","05/05/2026","Limited Availability","Meitheal Pharmaceuticals is distributor/labeler","","Discontinuation of the manufacture of the drug","Anesthesia","Current","","","02/20/2018","","","","","https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Bupivacaine%20Hydrochloride%20Injection&st=d","",""
"Bupivacaine Hydrochloride Injection","Kindos Pharmaceuticals Co. Ltd.","844-824-8426","Bupivacaine Hydrochloride, Injection, 5 mg/1 mL (NDC 71288-725-32)","Revised","05/05/2026","Limited Availability","Meitheal Pharmaceuticals is distributor/labeler","","Discontinuation of the manufacture of the drug","Anesthesia","Current","","","02/20/2018","","","","","https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Bupivacaine%20Hydrochloride%20Injection&st=d","",""
"Bupivacaine Hydrochloride Injection","Kindos Pharmaceuticals Co. Ltd.","844-824-8426","Bupivacaine Hydrochloride, Injection, 7.5 mg/1 mL (NDC 71288-728-32)","Revised","05/05/2026","Limited Availability","Meitheal Pharmaceuticals is distributor/labeler","","Discontinuation of the manufacture of the drug","Anesthesia","Current","","","02/20/2018","","","","","https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Bupivacaine%20Hydrochloride%20Injection&st=d","",""
"Bupivacaine Hydrochloride Injection","Somerset Therapeutics, LLC","732-554-1037","Bupivacaine Hydrochloride, Injection, 2.5 mg/1 mL (NDC 70069-752-25)","Reverified","07/20/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
"Bupivacaine Hydrochloride Injection","Somerset Therapeutics, LLC","732-554-1037","Bupivacaine Hydrochloride, Injection, 5 mg/1 mL (NDC 70069-753-25)","Reverified","07/20/2026","Available","","","","Anesthesia","Current","","","02/20/2018","","","","","","",""
